method,dataset,mean,std
CTGAN,adult,0.7539,0.0362
CTGAN,beijing,0.9494,0.0365
CTGAN,default,0.6734,0.0486
CTGAN,diabetes,0.7983,0.0178
CTGAN,magic,0.9040,0.0200
CTGAN,news,0.9750,0.0071
CTGAN,shoppers,0.7790,0.0374
TVAE,adult,0.6233,0.0595
TVAE,beijing,0.8622,0.0651
TVAE,default,0.9087,0.0392
TVAE,diabetes,0.1084,0.0749
TVAE,magic,0.9684,0.0104
TVAE,news,0.9216,0.0380
TVAE,shoppers,0.4797,0.1287
GReaT,adult,0.5898,0.0010
GReaT,default,0.8657,0.0036
GReaT,magic,0.8678,0.0049
GReaT,shoppers,0.7843,0.0030
STaSy,adult,0.8872,0.0809
STaSy,beijing,0.9199,0.0612
STaSy,default,0.9385,0.0282
STaSy,diabetes,0.0000,
STaSy,magic,0.9362,0.0501
STaSy,news,0.9218,0.0548
STaSy,shoppers,0.9009,0.0694
CoDi,adult,0.8021,0.0287
CoDi,beijing,0.9736,0.0089
CoDi,default,0.8189,0.0063
CoDi,diabetes,0.4335,
CoDi,magic,0.8627,0.0055
CoDi,news,0.9159,0.0077
CoDi,shoppers,0.9186,0.0271
TabSyn,adult,0.9902,0.0042
TabSyn,beijing,0.9822,0.0052
TabSyn,default,0.9889,0.0033
TabSyn,diabetes,0.9795,0.0095
TabSyn,magic,0.9938,0.0021
TabSyn,news,0.9558,0.0099
TabSyn,shoppers,0.9898,0.0019
TabDiff,adult,0.9861,0.0040
TabDiff,beijing,0.9779,0.0028
TabDiff,default,0.9873,0.0032
TabDiff,diabetes,0.9422,0.0106
TabDiff,magic,0.9939,0.0022
TabDiff,news,0.9172,0.0576
TabDiff,shoppers,0.9851,0.0142
SimpleFactors,adult,0.9578,0.0027
SimpleFactors,beijing,0.9762,0.0017
SimpleFactors,default,0.6955,0.0010
SimpleFactors,diabetes,0.9809,0.0016
SimpleFactors,magic,0.8694,0.0031
SimpleFactors,news,0.9289,0.0034
SimpleFactors,shoppers,0.9666,0.0021
FullyFactorizedPreprocessed,adult,0.9568,0.0036
FullyFactorizedPreprocessed,beijing,0.9531,0.0009
FullyFactorizedPreprocessed,default,0.6969,0.0006
FullyFactorizedPreprocessed,diabetes,0.9816,0.0015
FullyFactorizedPreprocessed,magic,0.8612,0.0008
FullyFactorizedPreprocessed,news,0.8378,0.0028
FullyFactorizedPreprocessed,shoppers,0.9713,0.0043
FullyFactorizedRandom,adult,0.0720,0.0002
FullyFactorizedRandom,beijing,0.1814,0.0014
FullyFactorizedRandom,default,0.0815,0.0003
FullyFactorizedRandom,diabetes,0.0000,0.0000
FullyFactorizedRandom,magic,0.5820,0.0023
FullyFactorizedRandom,news,0.0611,0.0002
FullyFactorizedRandom,shoppers,0.0701,0.0004
ShallowMixture,adult,0.9915,0.0023
ShallowMixture,beijing,0.9394,0.0102
ShallowMixture,default,0.9699,0.0048
ShallowMixture,diabetes,0.9820,0.0085
ShallowMixture,magic,0.9654,0.0055
ShallowMixture,news,0.9732,0.0061
ShallowMixture,shoppers,0.9616,0.0231
TabPC,adult,0.9961,0.0014
TabPC,beijing,0.9951,0.0011
TabPC,default,0.9950,0.0008
TabPC,diabetes,0.9953,0.0023
TabPC,magic,0.9948,0.0017
TabPC,news,0.9824,0.0064
TabPC,shoppers,0.9917,0.0046
