method,dataset,mean,std
CTGAN,adult,0.1313,0.0613
CTGAN,beijing,0.3850,0.0203
CTGAN,default,0.1050,0.0124
CTGAN,diabetes,0.0948,0.0050
CTGAN,magic,0.1588,0.0076
CTGAN,news,0.2339,0.0130
CTGAN,shoppers,0.2378,0.0197
TVAE,adult,0.1221,0.0133
TVAE,beijing,0.0540,0.0233
TVAE,default,0.3039,0.0121
TVAE,diabetes,0.0150,0.0134
TVAE,magic,0.3631,0.0124
TVAE,news,0.2811,0.0256
TVAE,shoppers,0.1909,0.0488
GReaT,adult,0.4825,0.0001
GReaT,default,0.4211,0.0012
GReaT,magic,0.3995,0.0041
GReaT,shoppers,0.4551,0.0061
STaSy,adult,0.3454,0.0170
STaSy,beijing,0.4796,0.0348
STaSy,default,0.3883,0.0185
STaSy,diabetes,0.0000,
STaSy,magic,0.4387,0.0272
STaSy,news,0.3870,0.0147
STaSy,shoppers,0.3518,0.0537
CoDi,adult,0.0875,0.0092
CoDi,beijing,0.5377,0.0081
CoDi,default,0.1863,0.0026
CoDi,diabetes,0.0138,
CoDi,magic,0.5100,0.0081
CoDi,news,0.3662,0.0082
CoDi,shoppers,0.1915,0.0063
TabSyn,adult,0.4796,0.0059
TabSyn,beijing,0.5221,0.0440
TabSyn,default,0.4598,0.0163
TabSyn,diabetes,0.3521,0.0070
TabSyn,magic,0.4775,0.0041
TabSyn,news,0.4310,0.0282
TabSyn,shoppers,0.4785,0.0047
TabDiff,adult,0.5255,0.0092
TabDiff,beijing,0.5981,0.0029
TabDiff,default,0.5154,0.0046
TabDiff,diabetes,0.3690,0.1486
TabDiff,magic,0.4799,0.0091
TabDiff,news,0.3561,0.0739
TabDiff,shoppers,0.5107,0.0249
SimpleFactors,adult,0.0501,0.0008
SimpleFactors,beijing,0.4351,0.0022
SimpleFactors,default,0.0507,0.0009
SimpleFactors,diabetes,0.0950,0.0009
SimpleFactors,magic,0.0102,0.0008
SimpleFactors,news,0.0088,0.0004
SimpleFactors,shoppers,0.1257,0.0035
FullyFactorizedPreprocessed,adult,0.0769,0.0007
FullyFactorizedPreprocessed,beijing,0.4385,0.0029
FullyFactorizedPreprocessed,default,0.0665,0.0009
FullyFactorizedPreprocessed,diabetes,0.0943,0.0009
FullyFactorizedPreprocessed,magic,0.0196,0.0007
FullyFactorizedPreprocessed,news,0.0172,0.0007
FullyFactorizedPreprocessed,shoppers,0.2307,0.0060
FullyFactorizedRandom,adult,0.0032,0.0002
FullyFactorizedRandom,beijing,0.2746,0.0023
FullyFactorizedRandom,default,0.0025,0.0004
FullyFactorizedRandom,diabetes,0.0000,0.0000
FullyFactorizedRandom,magic,0.0002,0.0000
FullyFactorizedRandom,news,0.0000,0.0000
FullyFactorizedRandom,shoppers,0.0045,0.0007
ShallowMixture,adult,0.4692,0.0094
ShallowMixture,beijing,0.6421,0.0118
ShallowMixture,default,0.3479,0.0081
ShallowMixture,diabetes,0.1637,0.0249
ShallowMixture,magic,0.4926,0.0079
ShallowMixture,news,0.0664,0.0033
ShallowMixture,shoppers,0.3684,0.0134
TabPC,adult,0.4995,0.0073
TabPC,beijing,0.5731,0.0062
TabPC,default,0.4490,0.0040
TabPC,diabetes,0.4514,0.0019
TabPC,magic,0.5047,0.0079
TabPC,news,0.3475,0.0023
TabPC,shoppers,0.5003,0.0061
