method,dataset,mean,std
CTGAN,adult,0.4838,0.0184
CTGAN,beijing,0.4969,0.0149
CTGAN,default,0.4970,0.0047
CTGAN,diabetes,0.5041,0.0047
CTGAN,magic,0.4972,0.0060
CTGAN,news,0.4944,0.0014
CTGAN,shoppers,0.4934,0.0562
TVAE,adult,0.5027,0.0119
TVAE,beijing,0.4892,0.0145
TVAE,default,0.5024,0.0046
TVAE,diabetes,0.3618,0.2028
TVAE,magic,0.4958,0.0021
TVAE,news,0.5104,0.0069
TVAE,shoppers,0.4780,0.0304
GReaT,adult,0.5194,0.0042
GReaT,beijing,0.5124,0.0040
GReaT,default,0.4877,0.0028
GReaT,magic,0.5131,0.0045
GReaT,shoppers,0.4934,0.0046
STaSy,adult,0.5020,0.0052
STaSy,beijing,0.5047,0.0030
STaSy,default,0.5061,0.0048
STaSy,diabetes,0.9974,
STaSy,magic,0.5103,0.0053
STaSy,news,0.5029,0.0104
STaSy,shoppers,0.4866,0.0329
CoDi,adult,0.5021,0.0055
CoDi,beijing,0.5057,0.0061
CoDi,default,0.5053,0.0066
CoDi,diabetes,0.5048,
CoDi,magic,0.5180,0.0035
CoDi,news,0.4976,0.0021
CoDi,shoppers,0.5057,0.0060
TabSyn,adult,0.5069,0.0012
TabSyn,beijing,0.5022,0.0016
TabSyn,default,0.5084,0.0020
TabSyn,diabetes,0.5071,0.0018
TabSyn,magic,0.5045,0.0029
TabSyn,news,0.4953,0.0021
TabSyn,shoppers,0.5069,0.0044
TabDiff,adult,0.5488,0.0071
TabDiff,beijing,0.5139,0.0025
TabDiff,default,0.5221,0.0021
TabDiff,diabetes,0.5181,0.0079
TabDiff,magic,0.5011,0.0032
TabDiff,news,0.5091,0.0026
TabDiff,shoppers,0.5120,0.0028
SimpleFactors,adult,0.5020,0.0039
SimpleFactors,beijing,0.4962,0.0033
SimpleFactors,default,0.5102,0.0020
SimpleFactors,diabetes,0.5040,0.0032
SimpleFactors,magic,0.4820,0.0045
SimpleFactors,news,0.4941,0.0025
SimpleFactors,shoppers,0.5054,0.0045
FullyFactorizedPreprocessed,adult,0.5034,0.0011
FullyFactorizedPreprocessed,beijing,0.4978,0.0011
FullyFactorizedPreprocessed,default,0.5127,0.0018
FullyFactorizedPreprocessed,diabetes,0.5057,0.0028
FullyFactorizedPreprocessed,magic,0.4876,0.0024
FullyFactorizedPreprocessed,news,0.4852,0.0024
FullyFactorizedPreprocessed,shoppers,0.5021,0.0043
FullyFactorizedRandom,adult,0.5041,0.0027
FullyFactorizedRandom,beijing,0.4978,0.0020
FullyFactorizedRandom,default,0.5474,0.0038
FullyFactorizedRandom,diabetes,0.5098,0.0011
FullyFactorizedRandom,magic,0.4960,0.0038
FullyFactorizedRandom,news,0.5419,0.0013
FullyFactorizedRandom,shoppers,0.5175,0.0051
ShallowMixture,adult,0.5498,0.0014
ShallowMixture,beijing,0.5545,0.0041
ShallowMixture,default,0.5133,0.0025
ShallowMixture,diabetes,0.5067,0.0022
ShallowMixture,magic,0.5348,0.0023
ShallowMixture,news,0.4942,0.0025
ShallowMixture,shoppers,0.5091,0.0048
TabPC,adult,0.5431,0.0047
TabPC,beijing,0.5162,0.0020
TabPC,default,0.5072,0.0031
TabPC,diabetes,0.5208,0.0025
TabPC,magic,0.5295,0.0028
TabPC,news,0.4943,0.0025
TabPC,shoppers,0.5128,0.0024
