method,dataset,mean,std
CTGAN,adult,0.3225,0.4189
CTGAN,beijing,0.0117,0.0058
CTGAN,default,0.0222,0.0191
CTGAN,diabetes,0.1209,0.0437
CTGAN,magic,0.1122,0.0263
CTGAN,news,0.4686,0.0401
CTGAN,shoppers,1.2183,0.4743
TVAE,adult,15.0886,4.1617
TVAE,beijing,0.0804,0.0051
TVAE,default,1.2956,0.3023
TVAE,diabetes,31.5980,18.4872
TVAE,magic,0.7420,0.1228
TVAE,news,1.5768,0.4036
TVAE,shoppers,10.2550,3.2313
GReaT,adult,0.0000,0.0000
GReaT,beijing,3.5747,0.1059
GReaT,default,23.9711,0.2405
GReaT,magic,4.8373,0.0413
GReaT,shoppers,21.8780,0.3721
STaSy,adult,2.5134,0.4673
STaSy,beijing,1.3539,0.3471
STaSy,default,1.6000,0.2372
STaSy,diabetes,0.0000,
STaSy,magic,2.8533,0.4710
STaSy,news,0.9827,0.4453
STaSy,shoppers,2.4403,1.6136
CoDi,adult,0.1480,0.0270
CoDi,beijing,0.0037,0.0040
CoDi,default,0.0000,0.0000
CoDi,diabetes,0.0000,
CoDi,magic,1.5096,0.2736
CoDi,news,0.0241,0.0117
CoDi,shoppers,0.6759,0.3872
TabSyn,adult,4.3039,0.2098
TabSyn,beijing,1.6109,0.3337
TabSyn,default,3.1133,0.1441
TabSyn,diabetes,2.0344,0.0849
TabSyn,magic,1.5283,0.1844
TabSyn,news,2.6268,0.3070
TabSyn,shoppers,4.9941,0.4275
TabDiff,adult,4.6829,0.1926
TabDiff,beijing,1.7179,0.1245
TabDiff,default,3.9593,0.0926
TabDiff,diabetes,2.8962,1.5304
TabDiff,magic,1.5377,0.2004
TabDiff,news,2.0561,0.5072
TabDiff,shoppers,5.9187,0.9103
SimpleFactors,adult,0.0000,0.0000
SimpleFactors,beijing,0.0005,0.0012
SimpleFactors,default,0.0000,0.0000
SimpleFactors,diabetes,0.0504,0.0094
SimpleFactors,magic,0.0000,0.0000
SimpleFactors,news,0.0000,0.0000
SimpleFactors,shoppers,0.0000,0.0000
FullyFactorizedPreprocessed,adult,0.1112,0.0250
FullyFactorizedPreprocessed,beijing,0.2411,0.0115
FullyFactorizedPreprocessed,default,0.0000,0.0000
FullyFactorizedPreprocessed,diabetes,0.0671,0.0140
FullyFactorizedPreprocessed,magic,0.0023,0.0032
FullyFactorizedPreprocessed,news,0.0000,0.0000
FullyFactorizedPreprocessed,shoppers,0.2145,0.0443
FullyFactorizedRandom,adult,0.0000,0.0000
FullyFactorizedRandom,beijing,0.0005,0.0012
FullyFactorizedRandom,default,0.0000,0.0000
FullyFactorizedRandom,diabetes,0.0000,0.0000
FullyFactorizedRandom,magic,0.0000,0.0000
FullyFactorizedRandom,news,0.0000,0.0000
FullyFactorizedRandom,shoppers,0.0000,0.0000
ShallowMixture,adult,5.0293,0.1940
ShallowMixture,beijing,2.3703,0.1427
ShallowMixture,default,2.3252,0.4999
ShallowMixture,diabetes,0.3331,0.1147
ShallowMixture,magic,5.6938,0.6394
ShallowMixture,news,0.3610,0.1499
ShallowMixture,shoppers,4.4174,0.5258
TabPC,adult,4.8438,0.2155
TabPC,beijing,1.4757,0.1191
TabPC,default,2.7200,0.1932
TabPC,diabetes,3.9087,0.1079
TabPC,magic,3.0309,0.3601
TabPC,news,1.2136,0.6237
TabPC,shoppers,6.2720,0.1197
