method,dataset,mean,std
CTGAN,adult,0.5881,0.0928
CTGAN,beijing,0.5534,0.1899
CTGAN,default,0.4129,0.0875
CTGAN,diabetes,0.5293,0.0693
CTGAN,magic,0.7966,0.0422
CTGAN,news,0.7486,0.0428
CTGAN,shoppers,0.5255,0.0319
TVAE,adult,0.2286,0.0416
TVAE,beijing,0.3707,0.0498
TVAE,default,0.6662,0.0182
TVAE,diabetes,0.0177,0.0259
TVAE,magic,0.8765,0.0261
TVAE,news,0.4355,0.0321
TVAE,shoppers,0.2728,0.0675
GReaT,beijing,0.7645,0.0040
GReaT,default,0.4815,0.0019
GReaT,magic,0.4628,0.0027
GReaT,shoppers,0.4402,0.0047
STaSy,adult,0.4537,0.0268
STaSy,beijing,0.6531,0.0414
STaSy,default,0.6303,0.0628
STaSy,magic,0.5496,0.0707
STaSy,news,0.4448,0.1707
STaSy,shoppers,0.3860,0.0979
CoDi,adult,0.1986,0.0286
CoDi,beijing,0.6345,0.2901
CoDi,default,0.3287,0.0602
CoDi,diabetes,0.0023,
CoDi,magic,0.7425,0.0238
CoDi,news,0.1133,0.0860
CoDi,shoppers,0.2169,0.0164
TabSyn,adult,0.9866,0.0081
TabSyn,beijing,0.9226,0.0303
TabSyn,default,0.9463,0.0588
TabSyn,diabetes,0.6617,0.0397
TabSyn,magic,0.9940,0.0051
TabSyn,news,0.9381,0.0629
TabSyn,shoppers,0.9787,0.0141
TabDiff,adult,0.9899,0.0054
TabDiff,beijing,0.9770,0.0027
TabDiff,default,0.9699,0.0095
TabDiff,diabetes,0.9290,0.0651
TabDiff,magic,0.9964,0.0035
TabDiff,news,0.9057,0.0588
TabDiff,shoppers,0.9756,0.0170
SimpleFactors,adult,1.0000,0.0000
SimpleFactors,beijing,0.9986,0.0020
SimpleFactors,default,0.9987,0.0017
SimpleFactors,diabetes,1.0000,0.0000
SimpleFactors,magic,0.9894,0.0126
SimpleFactors,news,0.9951,0.0041
SimpleFactors,shoppers,0.9993,0.0016
FullyFactorizedPreprocessed,adult,1.0000,0.0000
FullyFactorizedPreprocessed,beijing,0.9979,0.0029
FullyFactorizedPreprocessed,default,0.9949,0.0045
FullyFactorizedPreprocessed,diabetes,1.0000,0.0000
FullyFactorizedPreprocessed,magic,0.9892,0.0072
FullyFactorizedPreprocessed,news,0.9795,0.0132
FullyFactorizedPreprocessed,shoppers,1.0000,0.0000
FullyFactorizedRandom,adult,0.0002,0.0000
FullyFactorizedRandom,beijing,0.0002,0.0000
FullyFactorizedRandom,default,0.0023,0.0000
FullyFactorizedRandom,diabetes,0.0000,0.0000
FullyFactorizedRandom,magic,0.0000,0.0000
FullyFactorizedRandom,news,0.8775,0.2740
FullyFactorizedRandom,shoppers,0.0008,0.0001
ShallowMixture,adult,0.9879,0.0041
ShallowMixture,beijing,0.9133,0.0119
ShallowMixture,default,0.9826,0.0054
ShallowMixture,diabetes,0.9993,0.0016
ShallowMixture,magic,0.9551,0.0056
ShallowMixture,news,0.9765,0.0128
ShallowMixture,shoppers,0.9106,0.0501
TabPC,adult,0.9959,0.0083
TabPC,beijing,0.9989,0.0015
TabPC,default,0.9999,0.0003
TabPC,diabetes,1.0000,0.0000
TabPC,magic,0.9953,0.0067
TabPC,news,0.9960,0.0033
TabPC,shoppers,0.9969,0.0056
