method,dataset,mean,std
CTGAN,adult,0.8623,0.0078
CTGAN,beijing,1.0337,0.1615
CTGAN,default,0.7268,0.0158
CTGAN,diabetes,0.5908,0.0094
CTGAN,magic,0.8823,0.0097
CTGAN,news,0.8603,0.0179
CTGAN,shoppers,0.8501,0.0168
TVAE,adult,0.8710,0.0152
TVAE,beijing,1.0378,0.0376
TVAE,default,0.7467,0.0043
TVAE,diabetes,0.5798,0.0221
TVAE,magic,0.9181,0.0067
TVAE,news,0.9831,0.0309
TVAE,shoppers,0.9032,0.0095
GReaT,adult,0.8341,0.0051
GReaT,beijing,0.6216,0.0142
GReaT,default,0.7584,0.0055
GReaT,magic,0.9114,0.0053
GReaT,shoppers,0.9067,0.0039
STaSy,adult,0.9058,0.0010
STaSy,beijing,0.6761,0.0417
STaSy,default,0.7534,0.0075
STaSy,magic,0.9320,0.0038
STaSy,news,0.9222,0.1028
STaSy,shoppers,0.9103,0.0057
CoDi,adult,0.8048,0.0353
CoDi,beijing,0.8082,0.0580
CoDi,default,0.5030,0.0107
CoDi,diabetes,0.4778,
CoDi,magic,0.9318,0.0048
CoDi,news,2.1437,0.7155
CoDi,shoppers,0.8640,0.0214
TabSyn,adult,0.9104,0.0014
TabSyn,beijing,0.6260,0.0496
TabSyn,default,0.7590,0.0058
TabSyn,diabetes,0.6862,0.0032
TabSyn,magic,0.9370,0.0022
TabSyn,news,0.8577,0.0312
TabSyn,shoppers,0.9144,0.0071
TabDiff,adult,0.9130,0.0013
TabDiff,beijing,0.5642,0.0123
TabDiff,default,0.7625,0.0064
TabDiff,diabetes,0.6806,0.0242
TabDiff,magic,0.9358,0.0050
TabDiff,news,0.8784,0.0068
TabDiff,shoppers,0.9170,0.0043
SimpleFactors,adult,0.5212,0.0311
SimpleFactors,beijing,1.2087,0.1106
SimpleFactors,default,0.5200,0.0546
SimpleFactors,diabetes,0.4993,0.0045
SimpleFactors,magic,0.5141,0.0381
SimpleFactors,news,2.6422,0.2030
SimpleFactors,shoppers,0.4739,0.1053
FullyFactorizedPreprocessed,adult,0.5159,0.0237
FullyFactorizedPreprocessed,beijing,1.1062,0.0385
FullyFactorizedPreprocessed,default,0.4895,0.0159
FullyFactorizedPreprocessed,diabetes,0.4960,0.0049
FullyFactorizedPreprocessed,magic,0.5124,0.0450
FullyFactorizedPreprocessed,news,0.9225,0.0146
FullyFactorizedPreprocessed,shoppers,0.4487,0.0611
FullyFactorizedRandom,adult,0.5293,0.0878
FullyFactorizedRandom,beijing,1.5911,0.1122
FullyFactorizedRandom,default,0.4675,0.0262
FullyFactorizedRandom,diabetes,0.5037,0.0298
FullyFactorizedRandom,magic,0.5312,0.0760
FullyFactorizedRandom,news,1.5646,0.1200
FullyFactorizedRandom,shoppers,0.4808,0.0473
ShallowMixture,adult,0.9022,0.0055
ShallowMixture,beijing,0.5584,0.0133
ShallowMixture,default,0.7321,0.0027
ShallowMixture,diabetes,0.5741,0.0103
ShallowMixture,magic,0.9284,0.0043
ShallowMixture,news,0.9097,0.0129
ShallowMixture,shoppers,0.8626,0.0136
TabPC,adult,0.9162,0.0026
TabPC,beijing,0.6558,0.0278
TabPC,default,0.7442,0.0045
TabPC,diabetes,0.6873,0.0037
TabPC,magic,0.9324,0.0027
TabPC,news,0.8864,0.0099
TabPC,shoppers,0.8970,0.0038
