method,dataset,mean,std
CTGAN,adult,0.0263,0.0035
CTGAN,beijing,0.0333,0.0097
CTGAN,default,0.0463,0.0050
CTGAN,diabetes,0.0070,0.0004
CTGAN,magic,0.0406,0.0037
CTGAN,news,0.0152,0.0007
CTGAN,shoppers,0.0385,0.0079
TVAE,adult,0.0280,0.0023
TVAE,beijing,0.0695,0.0137
TVAE,default,0.0206,0.0021
TVAE,diabetes,0.0187,0.0081
TVAE,magic,0.0195,0.0022
TVAE,news,0.0137,0.0006
TVAE,shoppers,0.0168,0.0017
GReaT,adult,0.0111,0.0001
GReaT,beijing,0.0054,0.0002
GReaT,default,0.0383,0.0005
GReaT,magic,0.0224,0.0005
GReaT,shoppers,0.0104,0.0006
STaSy,adult,0.0097,0.0010
STaSy,beijing,0.0071,0.0017
STaSy,default,0.0124,0.0037
STaSy,diabetes,0.0093,
STaSy,magic,0.0160,0.0087
STaSy,news,0.0070,0.0010
STaSy,shoppers,0.0091,0.0005
CoDi,adult,0.0352,0.0008
CoDi,beijing,0.0085,0.0031
CoDi,default,0.0365,0.0031
CoDi,diabetes,0.0073,
CoDi,magic,0.0205,0.0021
CoDi,news,0.0100,0.0005
CoDi,shoppers,0.0227,0.0023
TabSyn,adult,0.0051,0.0006
TabSyn,beijing,0.0043,0.0007
TabSyn,default,0.0045,0.0005
TabSyn,diabetes,0.0026,0.0001
TabSyn,magic,0.0025,0.0002
TabSyn,news,0.0048,0.0010
TabSyn,shoppers,0.0042,0.0006
TabDiff,adult,0.0035,0.0002
TabDiff,beijing,0.0022,0.0001
TabDiff,default,0.0033,0.0003
TabDiff,diabetes,0.0030,0.0024
TabDiff,magic,0.0035,0.0009
TabDiff,news,0.0080,0.0025
TabDiff,shoppers,0.0035,0.0001
SimpleFactors,adult,0.0408,0.0000
SimpleFactors,beijing,0.0364,0.0000
SimpleFactors,default,0.0666,0.0000
SimpleFactors,diabetes,0.0076,0.0000
SimpleFactors,magic,0.1250,0.0000
SimpleFactors,news,0.0212,0.0000
SimpleFactors,shoppers,0.0239,0.0000
FullyFactorizedPreprocessed,adult,0.0406,0.0000
FullyFactorizedPreprocessed,beijing,0.0363,0.0000
FullyFactorizedPreprocessed,default,0.0661,0.0000
FullyFactorizedPreprocessed,diabetes,0.0076,0.0000
FullyFactorizedPreprocessed,magic,0.1244,0.0000
FullyFactorizedPreprocessed,news,0.0209,0.0000
FullyFactorizedPreprocessed,shoppers,0.0230,0.0000
FullyFactorizedRandom,adult,0.0412,0.0000
FullyFactorizedRandom,beijing,0.0367,0.0000
FullyFactorizedRandom,default,0.0665,0.0000
FullyFactorizedRandom,diabetes,0.0075,0.0000
FullyFactorizedRandom,magic,0.1252,0.0000
FullyFactorizedRandom,news,0.0212,0.0000
FullyFactorizedRandom,shoppers,0.0243,0.0000
ShallowMixture,adult,0.0070,0.0005
ShallowMixture,beijing,0.0073,0.0005
ShallowMixture,default,0.0099,0.0006
ShallowMixture,diabetes,0.0066,0.0008
ShallowMixture,magic,0.0301,0.0021
ShallowMixture,news,0.0147,0.0006
ShallowMixture,shoppers,0.0135,0.0007
TabPC,adult,0.0021,0.0004
TabPC,beijing,0.0027,0.0002
TabPC,default,0.0051,0.0003
TabPC,diabetes,0.0016,0.0003
TabPC,magic,0.0045,0.0007
TabPC,news,0.0060,0.0006
TabPC,shoppers,0.0025,0.0003
