method,dataset,mean,std
CTGAN,adult,0.9737,0.0035
CTGAN,beijing,0.9667,0.0097
CTGAN,default,0.9537,0.0050
CTGAN,diabetes,0.9930,0.0004
CTGAN,magic,0.9594,0.0037
CTGAN,news,0.9848,0.0007
CTGAN,shoppers,0.9615,0.0079
TVAE,adult,0.9720,0.0023
TVAE,beijing,0.9305,0.0137
TVAE,default,0.9794,0.0021
TVAE,diabetes,0.9813,0.0081
TVAE,magic,0.9805,0.0022
TVAE,news,0.9863,0.0006
TVAE,shoppers,0.9832,0.0017
GReaT,adult,0.9889,0.0001
GReaT,beijing,0.9946,0.0002
GReaT,default,0.9617,0.0005
GReaT,magic,0.9776,0.0005
GReaT,shoppers,0.9896,0.0006
STaSy,adult,0.9903,0.0010
STaSy,beijing,0.9929,0.0017
STaSy,default,0.9876,0.0037
STaSy,diabetes,0.9907,
STaSy,magic,0.9840,0.0087
STaSy,news,0.9930,0.0010
STaSy,shoppers,0.9909,0.0005
CoDi,adult,0.9648,0.0008
CoDi,beijing,0.9915,0.0031
CoDi,default,0.9635,0.0031
CoDi,diabetes,0.9927,
CoDi,magic,0.9795,0.0021
CoDi,news,0.9900,0.0005
CoDi,shoppers,0.9773,0.0023
TabSyn,adult,0.9949,0.0006
TabSyn,beijing,0.9957,0.0007
TabSyn,default,0.9955,0.0005
TabSyn,diabetes,0.9974,0.0001
TabSyn,magic,0.9975,0.0002
TabSyn,news,0.9952,0.0010
TabSyn,shoppers,0.9958,0.0006
TabDiff,adult,0.9965,0.0002
TabDiff,beijing,0.9978,0.0001
TabDiff,default,0.9967,0.0003
TabDiff,diabetes,0.9970,0.0024
TabDiff,magic,0.9965,0.0009
TabDiff,news,0.9920,0.0025
TabDiff,shoppers,0.9965,0.0001
SimpleFactors,adult,0.9592,0.0000
SimpleFactors,beijing,0.9636,0.0000
SimpleFactors,default,0.9334,0.0000
SimpleFactors,diabetes,0.9924,0.0000
SimpleFactors,magic,0.8750,0.0000
SimpleFactors,news,0.9788,0.0000
SimpleFactors,shoppers,0.9761,0.0000
FullyFactorizedPreprocessed,adult,0.9594,0.0000
FullyFactorizedPreprocessed,beijing,0.9637,0.0000
FullyFactorizedPreprocessed,default,0.9339,0.0000
FullyFactorizedPreprocessed,diabetes,0.9924,0.0000
FullyFactorizedPreprocessed,magic,0.8756,0.0000
FullyFactorizedPreprocessed,news,0.9791,0.0000
FullyFactorizedPreprocessed,shoppers,0.9770,0.0000
FullyFactorizedRandom,adult,0.9588,0.0000
FullyFactorizedRandom,beijing,0.9633,0.0000
FullyFactorizedRandom,default,0.9335,0.0000
FullyFactorizedRandom,diabetes,0.9925,0.0000
FullyFactorizedRandom,magic,0.8748,0.0000
FullyFactorizedRandom,news,0.9788,0.0000
FullyFactorizedRandom,shoppers,0.9757,0.0000
ShallowMixture,adult,0.9930,0.0005
ShallowMixture,beijing,0.9927,0.0005
ShallowMixture,default,0.9901,0.0006
ShallowMixture,diabetes,0.9934,0.0008
ShallowMixture,magic,0.9699,0.0021
ShallowMixture,news,0.9853,0.0006
ShallowMixture,shoppers,0.9865,0.0007
TabPC,adult,0.9979,0.0004
TabPC,beijing,0.9973,0.0002
TabPC,default,0.9949,0.0003
TabPC,diabetes,0.9984,0.0003
TabPC,magic,0.9955,0.0007
TabPC,news,0.9940,0.0006
TabPC,shoppers,0.9975,0.0003
