method,dataset,mean,std
CTGAN,adult,0.1577,0.0284
CTGAN,beijing,0.1266,0.0399
CTGAN,default,0.1726,0.0110
CTGAN,diabetes,0.0545,0.0028
CTGAN,magic,0.0802,0.0051
CTGAN,news,0.1321,0.0020
CTGAN,shoppers,0.1079,0.0306
TVAE,adult,0.0873,0.0070
TVAE,beijing,0.1266,0.0314
TVAE,default,0.0401,0.0099
TVAE,diabetes,0.1296,0.0448
TVAE,magic,0.0281,0.0024
TVAE,news,0.1207,0.0047
TVAE,shoppers,0.0608,0.0110
GReaT,adult,0.0439,0.0005
GReaT,beijing,0.0163,0.0016
GReaT,default,0.1291,0.0016
GReaT,magic,0.0277,0.0008
GReaT,shoppers,0.0423,0.0027
STaSy,adult,0.0265,0.0049
STaSy,beijing,0.0219,0.0067
STaSy,default,0.0496,0.0172
STaSy,diabetes,0.1083,
STaSy,magic,0.0204,0.0120
STaSy,news,0.0608,0.0063
STaSy,shoppers,0.0398,0.0031
CoDi,adult,0.2102,0.0073
CoDi,beijing,0.0188,0.0077
CoDi,default,0.1073,0.0049
CoDi,diabetes,0.0664,
CoDi,magic,0.0259,0.0035
CoDi,news,0.0768,0.0036
CoDi,shoppers,0.0829,0.0086
TabSyn,adult,0.0140,0.0026
TabSyn,beijing,0.0167,0.0076
TabSyn,default,0.0154,0.0029
TabSyn,diabetes,0.0203,0.0006
TabSyn,magic,0.0029,0.0003
TabSyn,news,0.0559,0.0122
TabSyn,shoppers,0.0168,0.0042
TabDiff,adult,0.0111,0.0009
TabDiff,beijing,0.0073,0.0004
TabDiff,default,0.0119,0.0016
TabDiff,diabetes,0.0313,0.0309
TabDiff,magic,0.0047,0.0016
TabDiff,news,0.0873,0.0262
TabDiff,shoppers,0.0156,0.0011
SimpleFactors,adult,0.2825,0.0001
SimpleFactors,beijing,0.2089,0.0001
SimpleFactors,default,0.3085,0.0000
SimpleFactors,diabetes,0.0918,0.0001
SimpleFactors,magic,0.2325,0.0000
SimpleFactors,news,0.2637,0.0000
SimpleFactors,shoppers,0.1397,0.0002
FullyFactorizedPreprocessed,adult,0.2811,0.0002
FullyFactorizedPreprocessed,beijing,0.2082,0.0001
FullyFactorizedPreprocessed,default,0.3058,0.0001
FullyFactorizedPreprocessed,diabetes,0.0918,0.0002
FullyFactorizedPreprocessed,magic,0.2316,0.0000
FullyFactorizedPreprocessed,news,0.2579,0.0001
FullyFactorizedPreprocessed,shoppers,0.1339,0.0002
FullyFactorizedRandom,adult,0.2852,0.0000
FullyFactorizedRandom,beijing,0.2106,0.0001
FullyFactorizedRandom,default,0.3081,0.0001
FullyFactorizedRandom,diabetes,0.0810,0.0000
FullyFactorizedRandom,magic,0.2329,0.0001
FullyFactorizedRandom,news,0.2635,0.0001
FullyFactorizedRandom,shoppers,0.1417,0.0001
ShallowMixture,adult,0.0460,0.0071
ShallowMixture,beijing,0.0304,0.0032
ShallowMixture,default,0.0427,0.0016
ShallowMixture,diabetes,0.0658,0.0088
ShallowMixture,magic,0.0568,0.0037
ShallowMixture,news,0.1825,0.0081
ShallowMixture,shoppers,0.0734,0.0048
TabPC,adult,0.0067,0.0049
TabPC,beijing,0.0075,0.0010
TabPC,default,0.0106,0.0012
TabPC,diabetes,0.0081,0.0024
TabPC,magic,0.0075,0.0012
TabPC,news,0.0612,0.0048
TabPC,shoppers,0.0073,0.0009
