method,dataset,mean,std
CTGAN,adult,0.8423,0.0284
CTGAN,beijing,0.8734,0.0399
CTGAN,default,0.8274,0.0110
CTGAN,diabetes,0.9455,0.0028
CTGAN,magic,0.9198,0.0051
CTGAN,news,0.8679,0.0020
CTGAN,shoppers,0.8921,0.0306
TVAE,adult,0.9127,0.0070
TVAE,beijing,0.8734,0.0314
TVAE,default,0.9599,0.0099
TVAE,diabetes,0.8704,0.0448
TVAE,magic,0.9719,0.0024
TVAE,news,0.8793,0.0047
TVAE,shoppers,0.9392,0.0110
GReaT,adult,0.9561,0.0005
GReaT,beijing,0.9837,0.0016
GReaT,default,0.8709,0.0016
GReaT,magic,0.9723,0.0008
GReaT,shoppers,0.9577,0.0027
STaSy,adult,0.9735,0.0049
STaSy,beijing,0.9781,0.0067
STaSy,default,0.9504,0.0172
STaSy,diabetes,0.8917,
STaSy,magic,0.9796,0.0120
STaSy,news,0.9392,0.0063
STaSy,shoppers,0.9602,0.0031
CoDi,adult,0.7898,0.0073
CoDi,beijing,0.9812,0.0077
CoDi,default,0.8927,0.0049
CoDi,diabetes,0.9336,
CoDi,magic,0.9741,0.0035
CoDi,news,0.9232,0.0036
CoDi,shoppers,0.9171,0.0086
TabSyn,adult,0.9860,0.0026
TabSyn,beijing,0.9833,0.0076
TabSyn,default,0.9846,0.0029
TabSyn,diabetes,0.9797,0.0006
TabSyn,magic,0.9971,0.0003
TabSyn,news,0.9441,0.0122
TabSyn,shoppers,0.9832,0.0042
TabDiff,adult,0.9889,0.0009
TabDiff,beijing,0.9927,0.0004
TabDiff,default,0.9881,0.0016
TabDiff,diabetes,0.9687,0.0309
TabDiff,magic,0.9953,0.0016
TabDiff,news,0.9127,0.0262
TabDiff,shoppers,0.9844,0.0011
SimpleFactors,adult,0.7175,0.0001
SimpleFactors,beijing,0.7911,0.0001
SimpleFactors,default,0.6915,0.0000
SimpleFactors,diabetes,0.9082,0.0001
SimpleFactors,magic,0.7675,0.0000
SimpleFactors,news,0.7363,0.0000
SimpleFactors,shoppers,0.8603,0.0002
FullyFactorizedPreprocessed,adult,0.7189,0.0002
FullyFactorizedPreprocessed,beijing,0.7918,0.0001
FullyFactorizedPreprocessed,default,0.6942,0.0001
FullyFactorizedPreprocessed,diabetes,0.9082,0.0002
FullyFactorizedPreprocessed,magic,0.7684,0.0000
FullyFactorizedPreprocessed,news,0.7421,0.0001
FullyFactorizedPreprocessed,shoppers,0.8661,0.0002
FullyFactorizedRandom,adult,0.7148,0.0000
FullyFactorizedRandom,beijing,0.7894,0.0001
FullyFactorizedRandom,default,0.6919,0.0001
FullyFactorizedRandom,diabetes,0.9190,0.0000
FullyFactorizedRandom,magic,0.7671,0.0001
FullyFactorizedRandom,news,0.7365,0.0001
FullyFactorizedRandom,shoppers,0.8583,0.0001
ShallowMixture,adult,0.9540,0.0071
ShallowMixture,beijing,0.9696,0.0032
ShallowMixture,default,0.9573,0.0016
ShallowMixture,diabetes,0.9342,0.0088
ShallowMixture,magic,0.9432,0.0037
ShallowMixture,news,0.8175,0.0081
ShallowMixture,shoppers,0.9266,0.0048
TabPC,adult,0.9933,0.0049
TabPC,beijing,0.9925,0.0010
TabPC,default,0.9894,0.0012
TabPC,diabetes,0.9919,0.0024
TabPC,magic,0.9925,0.0012
TabPC,news,0.9388,0.0048
TabPC,shoppers,0.9927,0.0009
