method,dataset,mean,std
CTGAN,adult,9603384,0.0000
CTGAN,beijing,9583890,0.0000
CTGAN,default,9656736,0.0000
CTGAN,diabetes,11791842,0.0000
CTGAN,magic,9557214,0.0000
CTGAN,news,9891690,0.0000
CTGAN,shoppers,9600306,0.0000
CoDi,adult,11891649,0.0000
CoDi,beijing,11892590,0.0000
CoDi,default,11902142,0.0000
CoDi,diabetes,11903761,0.0000
CoDi,magic,11896473,0.0000
CoDi,news,11942896,0.0000
CoDi,shoppers,11896798,0.0000
FullyFactorizedPreprocessed,adult,134,0.0000
FullyFactorizedPreprocessed,beijing,153,0.0000
FullyFactorizedPreprocessed,default,119,0.0000
FullyFactorizedPreprocessed,diabetes,2346,0.0000
FullyFactorizedPreprocessed,magic,24,0.0000
FullyFactorizedPreprocessed,news,360,0.0000
FullyFactorizedPreprocessed,shoppers,145,0.0000
FullyFactorizedRandom,adult,134,0.0000
FullyFactorizedRandom,beijing,153,0.0000
FullyFactorizedRandom,default,119,0.0000
FullyFactorizedRandom,diabetes,2346,0.0000
FullyFactorizedRandom,magic,24,0.0000
FullyFactorizedRandom,news,360,0.0000
FullyFactorizedRandom,shoppers,145,0.0000
GReaT,adult,120509952,
GReaT,beijing,120509952,
GReaT,default,120509952,
GReaT,magic,120509952,
GReaT,shoppers,120509952,
STaSy,adult,42582864,0.0000
STaSy,beijing,41455992,0.0000
STaSy,default,41872672,0.0000
STaSy,diabetes,148564672,0.0000
STaSy,magic,38520568,0.0000
STaSy,news,40459224,0.0000
STaSy,shoppers,41206368,0.0000
ShallowMixture,adult,2700000,0.0000
ShallowMixture,beijing,7700000,0.0000
ShallowMixture,default,2400000,0.0000
ShallowMixture,diabetes,46940000,0.0000
ShallowMixture,magic,250000,0.0000
ShallowMixture,news,3610000,0.0000
ShallowMixture,shoppers,2920000,0.0000
SimpleFactors,adult,130,0.0000
SimpleFactors,beijing,151,0.0000
SimpleFactors,default,107,0.0000
SimpleFactors,diabetes,2346,0.0000
SimpleFactors,magic,22,0.0000
SimpleFactors,news,300,0.0000
SimpleFactors,shoppers,131,0.0000
TVAE,adult,10653696,0.0000
TVAE,beijing,10634240,0.0000
TVAE,default,10706944,0.0000
TVAE,diabetes,12837888,0.0000
TVAE,magic,10607616,0.0000
TVAE,news,10941440,0.0000
TVAE,shoppers,10650624,0.0000
TabDDPM,adult,11768942,0.0000
TabDDPM,beijing,11713619,0.0000
TabDDPM,default,11734109,0.0000
TabDDPM,diabetes,16088234,0.0000
TabDDPM,magic,11568140,0.0000
TabDDPM,news,11664443,0.0000
TabDDPM,shoppers,11701325,0.0000
TabDiff,adult,21245993,0.0000
TabDiff,beijing,21196230,0.0000
TabDiff,default,21393298,0.0000
TabDiff,diabetes,21645095,0.0000
TabDiff,magic,21178473,0.0000
TabDiff,news,21786102,0.0000
TabDiff,shoppers,21294576,0.0000
TabPC,adult,453537792,0.0000
TabPC,beijing,319397888,0.0000
TabPC,default,12906496,0.0000
TabPC,diabetes,231299072,0.0000
TabPC,magic,62965760,0.0000
TabPC,news,123053056,0.0000
TabPC,shoppers,151293952,0.0000
TabSyn,adult,10631408,0.0000
TabSyn,beijing,10606308,0.0000
TabSyn,default,10704922,0.0000
TabSyn,diabetes,10849834,0.0000
TabSyn,magic,10596820,0.0000
TabSyn,news,10901142,0.0000
TabSyn,shoppers,10655418,0.0000
