method,dataset,mean,std
CTGAN,adult,1.8771,0.8009
CTGAN,beijing,2.3851,0.6822
CTGAN,default,2.3771,0.2885
CTGAN,diabetes,6.3085,0.4385
CTGAN,magic,1.0727,0.1788
CTGAN,news,4.1193,0.2441
CTGAN,shoppers,1.1344,0.3267
CoDi,adult,8.7592,0.1966
CoDi,beijing,9.1974,0.3274
CoDi,default,6.9147,0.1945
CoDi,diabetes,635.4370,
CoDi,magic,3.4646,0.1783
CoDi,news,8.2795,0.2815
CoDi,shoppers,3.0346,0.1756
FullyFactorizedPreprocessed,adult,0.5034,0.2105
FullyFactorizedPreprocessed,beijing,0.5827,0.1275
FullyFactorizedPreprocessed,default,0.8919,0.0945
FullyFactorizedPreprocessed,diabetes,0.8072,0.1048
FullyFactorizedPreprocessed,magic,0.1320,0.0024
FullyFactorizedPreprocessed,news,2.5236,0.1669
FullyFactorizedPreprocessed,shoppers,0.2062,0.0121
FullyFactorizedRandom,adult,0.4470,0.1045
FullyFactorizedRandom,beijing,0.5750,0.1464
FullyFactorizedRandom,default,0.9142,0.1246
FullyFactorizedRandom,diabetes,0.7251,0.0115
FullyFactorizedRandom,magic,0.1306,0.0016
FullyFactorizedRandom,news,2.4732,0.1457
FullyFactorizedRandom,shoppers,0.2097,0.0157
GReaT,adult,354.0000,21.4826
GReaT,beijing,232.4000,1.5166
GReaT,default,534.2000,5.8052
GReaT,magic,104.0000,2.3452
GReaT,shoppers,156.2000,104.1067
STaSy,adult,48.9061,75.9441
STaSy,beijing,13.3994,0.5363
STaSy,default,16.9230,11.1209
STaSy,diabetes,5081.2266,
STaSy,magic,5.8496,3.6229
STaSy,news,18.9427,8.2184
STaSy,shoppers,7.0157,3.4323
ShallowMixture,adult,15.4767,0.3646
ShallowMixture,beijing,25.7961,0.7403
ShallowMixture,default,34.9774,0.6994
ShallowMixture,diabetes,137.6070,0.9229
ShallowMixture,magic,2.7169,0.3310
ShallowMixture,news,131.3474,2.8256
ShallowMixture,shoppers,10.6468,0.3014
SimpleFactors,adult,0.4777,0.1131
SimpleFactors,beijing,0.6811,0.0748
SimpleFactors,default,1.0376,0.3636
SimpleFactors,diabetes,0.8314,0.0535
SimpleFactors,magic,0.1284,0.0066
SimpleFactors,news,1.9059,0.0296
SimpleFactors,shoppers,0.2101,0.0166
TVAE,adult,1.2212,0.3722
TVAE,beijing,1.9063,0.7608
TVAE,default,1.8575,0.3997
TVAE,diabetes,6.1053,2.8205
TVAE,magic,0.6788,0.1568
TVAE,news,4.0319,2.0698
TVAE,shoppers,0.5969,0.0689
TabDDPM,adult,72.0800,2.9031
TabDDPM,beijing,67.2406,1.7335
TabDDPM,default,54.9174,2.1538
TabDDPM,diabetes,278.7405,5.7109
TabDDPM,magic,31.8214,0.7605
TabDDPM,news,64.0587,1.3709
TabDDPM,shoppers,35.0030,1.3536
TabDiff,adult,10.8198,0.4718
TabDiff,beijing,8.9630,0.3779
TabDiff,default,9.5759,0.3125
TabDiff,diabetes,176.4923,1.4313
TabDiff,magic,4.3944,0.4176
TabDiff,news,16.2176,0.3868
TabDiff,shoppers,5.9688,0.4870
TabPC,adult,38.8797,0.6322
TabPC,beijing,24.6630,0.5132
TabPC,default,5.3941,0.4385
TabPC,diabetes,63.3897,2.5612
TabPC,magic,1.7209,0.1542
TabPC,news,91.9859,3.4779
TabPC,shoppers,4.9894,0.1661
TabSyn,adult,5.0087,0.2236
TabSyn,beijing,5.3876,0.4187
TabSyn,default,5.1847,0.5578
TabSyn,diabetes,15.5692,1.6810
TabSyn,magic,2.6193,0.2109
TabSyn,news,11.0557,1.6858
TabSyn,shoppers,2.0230,0.1887
