method,dataset,mean,std
CTGAN,adult,0.8087,0.0191
CTGAN,beijing,0.7999,0.0221
CTGAN,default,0.8308,0.0111
CTGAN,diabetes,0.8957,0.0042
CTGAN,magic,0.9443,0.0065
CTGAN,news,0.8622,0.0036
CTGAN,shoppers,0.7406,0.0174
TVAE,adult,0.7619,0.0135
TVAE,beijing,0.7216,0.0196
TVAE,default,0.9127,0.0023
TVAE,diabetes,0.7618,0.0471
TVAE,magic,0.9540,0.0067
TVAE,news,0.8169,0.0083
TVAE,shoppers,0.7508,0.0187
GReaT,adult,0.4250,0.0002
GReaT,beijing,0.9339,0.0010
GReaT,default,0.8047,0.0015
GReaT,magic,0.8498,0.0009
GReaT,shoppers,0.8578,0.0006
STaSy,adult,0.8915,0.0172
STaSy,beijing,0.8916,0.0204
STaSy,default,0.9285,0.0172
STaSy,diabetes,0.3712,
STaSy,magic,0.8817,0.0200
STaSy,news,0.9016,0.0233
STaSy,shoppers,0.8651,0.0291
CoDi,adult,0.7662,0.0245
CoDi,beijing,0.8115,0.0404
CoDi,default,0.7790,0.0300
CoDi,diabetes,0.7868,
CoDi,magic,0.9050,0.0088
CoDi,news,0.7173,0.0146
CoDi,shoppers,0.6671,0.0138
TabSyn,adult,0.9921,0.0010
TabSyn,beijing,0.9739,0.0126
TabSyn,default,0.9868,0.0043
TabSyn,diabetes,0.9822,0.0008
TabSyn,magic,0.9902,0.0019
TabSyn,news,0.9766,0.0122
TabSyn,shoppers,0.9852,0.0018
TabDiff,adult,0.9932,0.0008
TabDiff,beijing,0.9895,0.0004
TabDiff,default,0.9884,0.0016
TabDiff,diabetes,0.9855,0.0070
TabDiff,magic,0.9920,0.0008
TabDiff,news,0.9725,0.0047
TabDiff,shoppers,0.9851,0.0028
SimpleFactors,adult,0.9047,0.0004
SimpleFactors,beijing,0.9377,0.0004
SimpleFactors,default,0.8345,0.0004
SimpleFactors,diabetes,0.9937,0.0002
SimpleFactors,magic,0.9013,0.0011
SimpleFactors,news,0.8087,0.0001
SimpleFactors,shoppers,0.8756,0.0008
FullyFactorizedPreprocessed,adult,0.9961,0.0006
FullyFactorizedPreprocessed,beijing,0.9949,0.0003
FullyFactorizedPreprocessed,default,0.9954,0.0003
FullyFactorizedPreprocessed,diabetes,0.9966,0.0001
FullyFactorizedPreprocessed,magic,0.9938,0.0007
FullyFactorizedPreprocessed,news,0.9907,0.0001
FullyFactorizedPreprocessed,shoppers,0.9934,0.0007
FullyFactorizedRandom,adult,0.5282,0.0003
FullyFactorizedRandom,beijing,0.5005,0.0006
FullyFactorizedRandom,default,0.5395,0.0003
FullyFactorizedRandom,diabetes,0.3792,0.0002
FullyFactorizedRandom,magic,0.5223,0.0009
FullyFactorizedRandom,news,0.4620,0.0002
FullyFactorizedRandom,shoppers,0.5488,0.0013
ShallowMixture,adult,0.9924,0.0008
ShallowMixture,beijing,0.9811,0.0046
ShallowMixture,default,0.9907,0.0006
ShallowMixture,diabetes,0.9940,0.0013
ShallowMixture,magic,0.9840,0.0012
ShallowMixture,news,0.9880,0.0012
ShallowMixture,shoppers,0.9712,0.0105
TabPC,adult,0.9942,0.0007
TabPC,beijing,0.9943,0.0005
TabPC,default,0.9946,0.0004
TabPC,diabetes,0.9942,0.0004
TabPC,magic,0.9902,0.0013
TabPC,news,0.9936,0.0009
TabPC,shoppers,0.9910,0.0014
