method,dataset,mean,std
CTGAN,adult,3798.4000,173.8075
CTGAN,beijing,4126.4000,315.5526
CTGAN,default,3836.4000,235.3598
CTGAN,diabetes,13872.4000,621.6329
CTGAN,magic,1797.2000,160.7438
CTGAN,news,8221.2000,761.0673
CTGAN,shoppers,1453.0000,68.6382
CoDi,adult,25186.2500,593.1911
CoDi,beijing,27023.7500,396.5932
CoDi,default,20233.7500,314.4761
CoDi,diabetes,1027557.0000,0.0000
CoDi,magic,9617.7500,112.0053
CoDi,news,20495.5000,394.9415
CoDi,shoppers,8238.2500,242.1057
FullyFactorizedPreprocessed,adult,1.0963,0.3073
FullyFactorizedPreprocessed,beijing,1.7258,0.3996
FullyFactorizedPreprocessed,default,2.5433,0.2866
FullyFactorizedPreprocessed,diabetes,2.3645,0.4001
FullyFactorizedPreprocessed,magic,0.4779,0.0095
FullyFactorizedPreprocessed,news,7.0799,0.7513
FullyFactorizedPreprocessed,shoppers,0.4591,0.0281
FullyFactorizedRandom,adult,1.1896,0.2307
FullyFactorizedRandom,beijing,1.8565,0.4637
FullyFactorizedRandom,default,2.7356,0.2694
FullyFactorizedRandom,diabetes,2.1568,0.1723
FullyFactorizedRandom,magic,0.4797,0.0060
FullyFactorizedRandom,news,6.7184,0.5345
FullyFactorizedRandom,shoppers,0.4700,0.0358
GReaT,adult,16714.2000,573.1193
GReaT,beijing,13739.2000,371.0592
GReaT,default,26138.4000,691.2067
GReaT,diabetes,20472.0000,0.0000
GReaT,magic,6808.0000,244.4389
GReaT,news,63508.5000,39867.5000
GReaT,shoppers,5238.4000,2630.3352
STaSy,adult,6526.5000,263.0233
STaSy,beijing,7034.0000,299.5670
STaSy,default,6300.4000,758.6197
STaSy,diabetes,21701.6000,605.6588
STaSy,magic,4949.2000,355.9143
STaSy,news,7079.8000,693.3520
STaSy,shoppers,4385.0000,402.7669
ShallowMixture,adult,59.7312,6.9153
ShallowMixture,beijing,106.2842,5.8491
ShallowMixture,default,163.9088,4.3196
ShallowMixture,diabetes,293.4441,7.7746
ShallowMixture,magic,15.4145,0.7237
ShallowMixture,news,268.3647,41.2936
ShallowMixture,shoppers,47.6461,0.8496
SimpleFactors,adult,2.0465,0.4905
SimpleFactors,beijing,2.9332,0.4435
SimpleFactors,default,3.3563,0.6739
SimpleFactors,diabetes,2.6132,0.1179
SimpleFactors,magic,1.0093,0.0172
SimpleFactors,news,6.0577,0.3419
SimpleFactors,shoppers,1.1150,0.0719
TVAE,adult,1309.6000,102.2597
TVAE,beijing,1482.4000,68.7884
TVAE,default,1705.0000,102.1920
TVAE,diabetes,3863.8000,194.3403
TVAE,magic,834.6000,85.1037
TVAE,news,4588.0000,125.7076
TVAE,shoppers,579.2000,72.7032
TabDDPM,adult,2955.5000,43.5000
TabDDPM,beijing,2559.0000,22.0000
TabDDPM,default,2951.0000,0.0000
TabDDPM,diabetes,7869.5000,75.5000
TabDDPM,magic,2184.0000,0.0000
TabDDPM,news,2445.0000,0.0000
TabDDPM,shoppers,2782.0000,0.0000
TabDiff,adult,11604.6000,2638.2714
TabDiff,beijing,14418.4000,3526.9843
TabDiff,default,13899.0000,2723.9720
TabDiff,diabetes,32069.2000,2849.5164
TabDiff,magic,11643.4000,3487.6803
TabDiff,news,16040.0000,2865.3464
TabDiff,shoppers,10320.8000,2256.3419
TabPC,adult,272.4569,18.7950
TabPC,beijing,581.5754,40.2687
TabPC,default,78.3351,16.2498
TabPC,diabetes,247.8681,22.3393
TabPC,magic,38.9187,1.9214
TabPC,news,404.0210,232.1825
TabPC,shoppers,50.5603,0.7823
TabSyn,adult,3082.5000,516.0472
TabSyn,beijing,3321.2500,327.1845
TabSyn,default,3438.5000,578.0798
TabSyn,diabetes,6506.2500,389.9105
TabSyn,magic,2270.7500,369.7968
TabSyn,news,3746.5000,395.9107
TabSyn,shoppers,2441.2500,192.9228
