method,dataset,mean,std
CTGAN,adult,0.0000,0.0000
CTGAN,beijing,0.0000,0.0000
CTGAN,default,0.0002,0.0001
CTGAN,diabetes,0.0000,0.0000
CTGAN,magic,0.1034,0.0057
CTGAN,news,0.0000,0.0000
CTGAN,shoppers,0.0000,0.0000
TVAE,adult,0.0000,0.0000
TVAE,beijing,0.0000,0.0000
TVAE,default,0.0020,0.0002
TVAE,diabetes,0.0000,0.0000
TVAE,magic,0.2981,0.0276
TVAE,news,0.0000,0.0000
TVAE,shoppers,0.0000,0.0000
GReaT,beijing,0.6016,0.0028
GReaT,default,0.2425,0.0012
GReaT,magic,0.2702,0.0027
GReaT,shoppers,0.2924,0.0034
STaSy,adult,0.3425,0.0272
STaSy,beijing,0.3668,0.0243
STaSy,default,0.3571,0.0370
STaSy,magic,0.5221,0.0790
STaSy,news,0.1917,0.0525
STaSy,shoppers,0.2277,0.0806
CoDi,adult,0.0000,0.0001
CoDi,beijing,0.0002,0.0001
CoDi,default,0.0014,0.0002
CoDi,diabetes,0.0000,
CoDi,magic,0.4201,0.0430
CoDi,news,0.0000,0.0000
CoDi,shoppers,0.0002,0.0001
TabSyn,adult,0.7942,0.0341
TabSyn,beijing,0.5266,0.1397
TabSyn,default,0.4024,0.0515
TabSyn,diabetes,0.5222,0.0362
TabSyn,magic,0.7602,0.0310
TabSyn,news,0.1208,0.0590
TabSyn,shoppers,0.6554,0.0196
TabDiff,adult,0.8409,0.0067
TabDiff,beijing,0.7723,0.0138
TabDiff,default,0.5914,0.0226
TabDiff,diabetes,0.5618,0.2842
TabDiff,magic,0.7732,0.0278
TabDiff,news,0.0296,0.0252
TabDiff,shoppers,0.7361,0.0162
SimpleFactors,adult,0.0000,0.0000
SimpleFactors,beijing,0.0006,0.0001
SimpleFactors,default,0.0000,0.0000
SimpleFactors,diabetes,0.0475,0.0007
SimpleFactors,magic,0.0020,0.0002
SimpleFactors,news,0.0000,0.0000
SimpleFactors,shoppers,0.0000,0.0001
FullyFactorizedPreprocessed,adult,0.0160,0.0007
FullyFactorizedPreprocessed,beijing,0.0172,0.0006
FullyFactorizedPreprocessed,default,0.0002,0.0001
FullyFactorizedPreprocessed,diabetes,0.0503,0.0009
FullyFactorizedPreprocessed,magic,0.0052,0.0002
FullyFactorizedPreprocessed,news,0.0000,0.0000
FullyFactorizedPreprocessed,shoppers,0.0211,0.0013
FullyFactorizedRandom,adult,0.0000,0.0000
FullyFactorizedRandom,beijing,0.0000,0.0000
FullyFactorizedRandom,default,0.0000,0.0000
FullyFactorizedRandom,diabetes,0.0000,0.0000
FullyFactorizedRandom,magic,0.0000,0.0000
FullyFactorizedRandom,news,0.0000,0.0000
FullyFactorizedRandom,shoppers,0.0000,0.0000
ShallowMixture,adult,0.7727,0.0243
ShallowMixture,beijing,0.7332,0.0148
ShallowMixture,default,0.1053,0.0127
ShallowMixture,diabetes,0.1329,0.0328
ShallowMixture,magic,0.6258,0.0228
ShallowMixture,news,0.0000,0.0001
ShallowMixture,shoppers,0.2901,0.0251
TabPC,adult,0.8554,0.0328
TabPC,beijing,0.5704,0.0262
TabPC,default,0.2617,0.0052
TabPC,diabetes,0.7915,0.0134
TabPC,magic,0.8602,0.0142
TabPC,news,0.1286,0.0182
TabPC,shoppers,0.8936,0.0100
